State:,Jackpot Winners:,Percentage of TotalJackpot Winners:
Indiana,39,9.6%
Missouri,31,7.7%
Minnesota,22,5.4%
Pennsylvania,19,4.7%
Wisconsin,19,4.7%
Kentucky,18,4.4%
Louisiana,17,4.2%
Florida,16,4%
Arizona,14,3.5%
California,14,3.5%
Kansas,12,3%
New York,12,3%
New Hampshire,11,2.7%
New Jersey,11,2.7%
"Washington, D.C.",11,2.7%
Delaware,10,2.5%
Nebraska,10,2.5%
Connecticut,9,2.2%
Iowa,9,2.2%
West Virginia,9,2.2%
Rhode Island,8,2%
Tennessee,7,1.7%
Georgia,6,1.5%
Massachusetts,6,1.5%
North Carolina,6,1.5%
South Carolina,6,1.5%
Idaho,5,1.2%
Michigan,5,1.2%
New Mexico,5,1.2%
Oregon,5,1.2%
Montana,4,1%
Ohio,4,1%
Oklahoma,4,1%
Colorado,3,0.7%
Maryland,3,0.7%
South Dakota,3,0.7%
Illinois,2,0.5%
Puerto Rico,2,0.5%
Texas,2,0.5%
Virginia,2,0.5%
Washington,2,0.5%
Arkansas,1,0.2%
Vermont,1,0.2%
Maine,0,0%
Mississippi,0,0%
North Dakota,0,0%
U.S. Virgin Islands,0,0%
Wyoming,0,0%
Total:,405,100%
